H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202603,三次調整力1,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260301B01,募集量（TSO別）[MW],0,210,0,0,94,74,108,82,165,733
20260301B01,応札量合計（電源属地別）[MW],266,570,386.996,490.3,105,845,547.821,91,547,3849.117
20260301B01,落札量合計（電源属地別）[MW],0,210,44.163,327.894,105,196.722,235.679,82,87,1288.458
20260301B01,応札件数（電源属地別）[件],3,3,5,7,1,4,7,3,6,39
20260301B01,落札件数（電源属地別）[件],0,3,3,3,1,4,5,3,4,26
20260301B01,最高落札価格（電源属地別）[円/kW・30分],0,3.43,1.2,2.11,1.43,0.82,1.18,7.27,1.44,7.27
20260301B01,最低落札価格（電源属地別）[円/kW・30分],0,2.2,0.89,1.67,1.43,0.36,0.36,0.36,0.36,0.36
20260301B01,平均落札価格（電源属地別）[円/kW・30分],0,2.68,1.06,1.86,1.43,0.54,1,1.68,0.99,1.5
20260301B01,最高落札価格（TSO別）[円/kW・30分],0,3.43,1.2,2.11,1.43,0.82,1.18,7.27,1.44,7.27
20260301B01,最低落札価格（TSO別）[円/kW・30分],0,2.2,0.89,1.67,1.43,0.36,0.36,0.36,0.36,0.36
20260301B01,平均落札価格（TSO別）[円/kW・30分],0,2.68,1.06,1.86,1.43,0.54,0.94,1.68,1.05,1.5
20260301B01,落札量合計（TSO別）[MW],0,210,44.163,327.894,105,196.722,157.679,82,165,1288.458
20260301B01,（内訳）自エリアからの落札量[MW],0,210,44.163,327.894,105,196.722,157.679,82,87,1210.458
20260301B02,募集量（TSO別）[MW],0,262,0,0,87,231,104,84,257,1025
20260301B02,応札量合計（電源属地別）[MW],287.7,570,385.396,358.3,101,845,547.821,92,600,3787.217
20260301B02,落札量合計（電源属地別）[MW],15,202,129,311.97,101,196.722,208.05,91,170,1424.742
20260301B02,応札件数（電源属地別）[件],5,3,6,3,1,4,7,5,8,42
20260301B02,落札件数（電源属地別）[件],1,3,5,2,1,4,5,5,6,32
20260301B02,最高落札価格（電源属地別）[円/kW・30分],3.82,3.5,1.13,4.56,1.43,0.81,1.37,7.94,1.6,7.94
20260301B02,最低落札価格（電源属地別）[円/kW・30分],3.82,2.48,0.35,2.68,1.43,0.36,0.36,0.36,0.36,0.35
20260301B02,平均落札価格（電源属地別）[円/kW・30分],3.82,2.85,0.66,3.01,1.43,0.54,1.14,2.32,0.94,1.76
20260301B02,最高落札価格（TSO別）[円/kW・30分],3.82,3.5,1.13,4.56,1.43,4.56,1.37,7.94,2.68,7.94
20260301B02,最低落札価格（TSO別）[円/kW・30分],3.82,0.35,0.81,2.68,1.43,0.36,0.36,0.36,0.36,0.35
20260301B02,平均落札価格（TSO別）[円/kW・30分],3.82,2.28,0.93,3.21,1.43,1.01,1.14,2.32,1.51,1.76
20260301B02,落札量合計（TSO別）[MW],15,262,69,180.02,87,259.722,204,91,257,1424.742
20260301B02,（内訳）自エリアからの落札量[MW],15,202,69,180.02,87,196.722,204,91,170,1214.742
20260301B03,募集量（TSO別）[MW],0,116,0,0,131,327,249,144,305,1272
20260301B03,応札量合計（電源属地別）[MW],270.99,640,1134.397,0,164,845,547.821,84,647,4333.208
20260301B03,落札量合計（電源属地別）[MW],35.99,287.056,236,0,164,441.322,285.4,84,312,1845.768
20260301B03,応札件数（電源属地別）[件],5,3,10,0,2,4,7,3,6,40
20260301B03,落札件数（電源属地別）[件],3,3,2,0,2,4,5,3,3,25
20260301B03,最高落札価格（電源属地別）[円/kW・30分],10,3.53,4.32,0,1.17,0.62,0.76,7.9,0.36,10
20260301B03,最低落札価格（電源属地別）[円/kW・30分],4.92,1.74,3.2,0,1.16,0.36,0.36,0.36,0.36,0.36
20260301B03,平均落札価格（電源属地別）[円/kW・30分],5.61,2.4,3.76,0,1.17,0.41,0.58,2.47,0.36,1.43
20260301B03,最高落札価格（TSO別）[円/kW・30分],10,3.53,4.32,0,1.17,0.62,0.76,7.9,1.17,10
20260301B03,最低落札価格（TSO別）[円/kW・30分],4.92,1.74,3.2,0,1.16,0.36,0.36,0.36,0.36,0.36
20260301B03,平均落札価格（TSO別）[円/kW・30分],5.61,2.4,3.76,0,1.17,0.42,0.55,2.47,0.43,1.43
20260301B03,落札量合計（TSO別）[MW],35.99,287.056,236,0,131,351.722,341,84,379,1845.768
20260301B03,（内訳）自エリアからの落札量[MW],35.99,287.056,236,0,131,351.722,254.894,84,312,1692.662
20260301B04,募集量（TSO別）[MW],93,106,375,0,264,565,543,247,293,2486
20260301B04,応札量合計（電源属地別）[MW],347.8,640,1323.811,0,268,620,333.231,160,814,4506.842
20260301B04,落札量合計（電源属地別）[MW],26,280,397,0,268,620,333.231,160,342,2426.231
20260301B04,応札件数（電源属地別）[件],5,3,9,0,2,4,5,3,6,37
20260301B04,落札件数（電源属地別）[件],2,3,5,0,2,4,5,3,5,29
20260301B04,最高落札価格（電源属地別）[円/kW・30分],5.47,5.56,0.36,0,0.35,19.51,0.36,14.54,0.36,19.51
20260301B04,最低落札価格（電源属地別）[円/kW・30分],4.07,2.78,0.35,0,0.35,0.36,0.36,0.36,0.36,0.35
20260301B04,平均落札価格（電源属地別）[円/kW・30分],4.61,3.83,0.36,0,0.35,0.55,0.36,2.54,0.36,1
20260301B04,最高落札価格（TSO別）[円/kW・30分],5.56,5.56,0.36,0,0.35,19.51,0.36,14.54,0.36,19.51
20260301B04,最低落札価格（TSO別）[円/kW・30分],0.35,0.36,0.35,0,0.35,0.35,0.36,0.36,0.36,0.35
20260301B04,平均落札価格（TSO別）[円/kW・30分],3.52,3.73,0.36,0,0.35,0.56,0.36,2.54,0.36,1
20260301B04,落札量合計（TSO別）[MW],108,220,375,0,264,565,392.231,160,342,2426.231
20260301B04,（内訳）自エリアからの落札量[MW],26,211,375,0,264,561,333.231,160,342,2272.231
20260301B05,募集量（TSO別）[MW],0,129,549,0,240,424,269,214,329,2154
20260301B05,応札量合計（電源属地別）[MW],458.89,640,76.4,0,249,845,333.231,124,814,3540.521
20260301B05,落札量合計（電源属地別）[MW],9,318,76.4,0,249,411.722,312.286,124,336,1836.408
20260301B05,応札件数（電源属地別）[件],6,3,1,0,2,4,5,3,6,30
20260301B05,落札件数（電源属地別）[件],1,3,1,0,2,4,5,3,5,24
20260301B05,最高落札価格（電源属地別）[円/kW・30分],5.51,6.62,7.21,0,0.35,0.36,0.36,16.93,0.36,16.93
20260301B05,最低落札価格（電源属地別）[円/kW・30分],5.51,3.34,7.21,0,0.35,0.36,0.36,0.36,0.36,0.35
20260301B05,平均落札価格（電源属地別）[円/kW・30分],5.51,4.74,7.21,0,0.35,0.36,0.36,3.51,0.36,1.64
20260301B05,最高落札価格（TSO別）[円/kW・30分],5.51,6.62,7.21,0,0.35,0.36,0.36,16.93,0.36,16.93
20260301B05,最低落札価格（TSO別）[円/kW・30分],5.51,3.34,7.21,0,0.35,0.35,0.36,0.36,0.36,0.35
20260301B05,平均落札価格（TSO別）[円/kW・30分],5.51,4.74,7.21,0,0.35,0.36,0.36,3.51,0.36,1.64
20260301B05,落札量合計（TSO別）[MW],9,318,76.4,0,240,424,309.008,124,336,1836.408
20260301B05,（内訳）自エリアからの落札量[MW],9,318,76.4,0,240,411.722,309.008,124,336,1824.13
20260301B06,募集量（TSO別）[MW],0,389,223,0,202,518,165,219,302,2018
20260301B06,応札量合計（電源属地別）[MW],269,640,1394.802,0,210,845,547.821,135,539,4580.623
20260301B06,落札量合計（電源属地別）[MW],10,280,359,0,210,610.796,313.029,135,268,2185.825
20260301B06,応札件数（電源属地別）[件],4,3,10,0,2,4,7,3,6,39
20260301B06,落札件数（電源属地別）[件],1,3,4,0,2,4,5,3,4,26
20260301B06,最高落札価格（電源属地別）[円/kW・30分],5.35,3.65,4.32,0,0.35,0.36,0.64,8.64,0.6,8.64
20260301B06,最低落札価格（電源属地別）[円/kW・30分],5.35,1.79,0.36,0,0.35,0.36,0.36,0.36,0.36,0.35
20260301B06,平均落札価格（電源属地別）[円/kW・30分],5.35,2.47,2.75,0,0.35,0.36,0.52,2.19,0.46,1.19
20260301B06,最高落札価格（TSO別）[円/kW・30分],5.35,3.65,4.32,0,0.35,0.64,0.64,8.64,0.6,8.64
20260301B06,最低落札価格（TSO別）[円/kW・30分],5.35,0.36,3.2,0,0.35,0.36,0.36,0.36,0.35,0.35
20260301B06,平均落札価格（TSO別）[円/kW・30分],5.35,1.88,3.79,0,0.35,0.38,0.51,2.19,0.42,1.19
20260301B06,落札量合計（TSO別）[MW],10,389,250,0,202,518,263.825,135,418,2185.825
20260301B06,（内訳）自エリアからの落札量[MW],10,280,250,0,202,473.196,236.939,135,268,1855.135
20260301B07,募集量（TSO別）[MW],0,228,122,0,111,399,165,121,305,1451
20260301B07,応札量合計（電源属地別）[MW],266,380,1533.247,1929.582,120,845,547.821,124,532.97,6278.62
20260301B07,落札量合計（電源属地別）[MW],0,140,456.587,403.475,120,196.722,231.426,121,227.377,1896.587
20260301B07,応札件数（電源属地別）[件],3,2,16,13,1,4,7,4,9,59
20260301B07,落札件数（電源属地別）[件],0,2,7,6,1,4,5,4,7,36
20260301B07,最高落札価格（電源属地別）[円/kW・30分],0,2.59,9.04,4.08,0.98,0.7,1.94,7.4,1.72,9.04
20260301B07,最低落札価格（電源属地別）[円/kW・30分],0,1.8,1,1.98,0.98,0.36,0.36,0.36,0.36,0.36
20260301B07,平均落札価格（電源属地別）[円/kW・30分],0,2.2,3.85,3.26,0.98,0.49,1.6,1.59,1.08,2.32
20260301B07,最高落札価格（TSO別）[円/kW・30分],0,9.04,9.04,4.08,0.98,4.08,3.39,7.4,3.53,9.04
20260301B07,最低落札価格（TSO別）[円/kW・30分],0,1.8,1,2.76,0.98,0.36,0.36,0.36,0.36,0.36
20260301B07,平均落札価格（TSO別）[円/kW・30分],0,3.87,3.21,3.62,0.98,1.81,1.69,1.59,1.71,2.32
20260301B07,落札量合計（TSO別）[MW],0,228,368.587,93,111,399,233,121,343,1896.587
20260301B07,（内訳）自エリアからの落札量[MW],0,140,368.587,93,111,196.722,219.02,121,227.377,1476.706
20260301B08,募集量（TSO別）[MW],0,0,0,0,98,260,165,107,262,892
20260301B08,応札量合計（電源属地別）[MW],269,380,317.301,1235.26,118,845,404.211,113,433,4114.772
20260301B08,落札量合計（電源属地別）[MW],3,140,166.001,568.704,118,261.399,166.306,107,220.516,1750.926
20260301B08,応札件数（電源属地別）[件],4,2,4,16,1,4,6,5,7,49
20260301B08,落札件数（電源属地別）[件],1,2,2,8,1,4,4,5,6,33
20260301B08,最高落札価格（電源属地別）[円/kW・30分],7,2.98,1.81,3.11,0.95,0.67,1.36,7.3,1.29,7.3
20260301B08,最低落札価格（電源属地別）[円/kW・30分],7,2.12,1,2.04,0.95,0.36,0.36,0.36,0.36,0.36
20260301B08,平均落札価格（電源属地別）[円/kW・30分],7,2.55,1.05,2.74,0.95,0.45,0.95,1.39,0.67,1.6
20260301B08,最高落札価格（TSO別）[円/kW・30分],7,2.98,1.81,3.11,0.95,0.95,2.32,7.3,2.32,7.3
20260301B08,最低落札価格（TSO別）[円/kW・30分],7,2.12,1,2.32,0.95,0.36,0.36,0.36,0.36,0.36
20260301B08,平均落札価格（TSO別）[円/kW・30分],7,2.55,1.05,2.76,0.95,0.46,1,1.39,0.76,1.6
20260301B08,落札量合計（TSO別）[MW],3,140,166.001,549.925,98,260,165,107,262,1750.926
20260301B08,（内訳）自エリアからの落札量[MW],3,140,166.001,549.925,98,251.677,156.392,107,220.516,1692.511
20260302B01,募集量（TSO別）[MW],0,210,0,0,94,74,108,82,165,733
20260302B01,応札量合計（電源属地別）[MW],266,380,191.648,858.3,105,845,404.211,91,433,3574.159
20260302B01,落札量合計（電源属地別）[MW],0,140,75.269,530.407,105,196.722,141.306,91,117.842,1397.546
20260302B01,応札件数（電源属地別）[件],3,2,3,14,1,4,6,5,7,45
20260302B01,落札件数（電源属地別）[件],0,2,3,8,1,4,4,5,5,32
20260302B01,最高落札価格（電源属地別）[円/kW・30分],0,2.36,1.7,3.39,1.34,1.45,1.25,7.21,2,7.21
20260302B01,最低落札価格（電源属地別）[円/kW・30分],0,2.31,0.35,1.51,1.34,0.48,0.36,0.36,0.36,0.35
20260302B01,平均落札価格（電源属地別）[円/kW・30分],0,2.34,0.92,2.35,1.34,0.9,0.98,1.49,1.51,1.73
20260302B01,最高落札価格（TSO別）[円/kW・30分],0,2.36,1.7,3.39,1.34,1.45,1.45,7.21,2,7.21
20260302B01,最低落札価格（TSO別）[円/kW・30分],0,0.35,1.7,1.51,1.34,0.48,0.36,0.36,0.36,0.35
20260302B01,平均落札価格（TSO別）[円/kW・30分],0,1.84,1.7,2.35,1.34,0.86,0.92,1.49,1.43,1.73
20260302B01,落札量合計（TSO別）[MW],0,210,5.269,530.407,105,182.87,108,91,165,1397.546
20260302B01,（内訳）自エリアからの落札量[MW],0,140,5.269,530.407,105,182.87,94.148,91,117.842,1266.536
20260302B02,募集量（TSO別）[MW],0,262,0,0,87,231,104,84,257,1025
20260302B02,応札量合計（電源属地別）[MW],288.45,380,198.502,1005,101,845,404.211,92,433,3747.163
20260302B02,落札量合計（電源属地別）[MW],15,143.991,155.202,566.71,101,196.722,163.306,90,170,1601.931
20260302B02,応札件数（電源属地別）[件],5,2,3,13,1,4,6,4,7,45
20260302B02,落札件数（電源属地別）[件],1,2,3,7,1,4,4,4,5,31
20260302B02,最高落札価格（電源属地別）[円/kW・30分],3.82,2.19,1.58,2.82,1.46,1.58,1.56,7.15,2.1,7.15
20260302B02,最低落札価格（電源属地別）[円/kW・30分],3.82,2.14,0.35,1.49,1.46,0.62,0.36,0.36,0.36,0.35
20260302B02,平均落札価格（電源属地別）[円/kW・30分],3.82,2.16,0.66,2.21,1.46,1.04,1.08,1.5,1.23,1.62
20260302B02,最高落札価格（TSO別）[円/kW・30分],3.82,2.19,1.58,2.82,1.46,2.29,1.56,7.15,2.29,7.15
20260302B02,最低落札価格（TSO別）[円/kW・30分],3.82,0.35,1.58,1.49,1.46,0.62,0.36,0.36,0.36,0.35
20260302B02,平均落札価格（TSO別）[円/kW・30分],3.82,1.36,1.58,2.28,1.46,1.28,1.07,1.5,1.44,1.62
20260302B02,落札量合計（TSO別）[MW],15,262,37.193,434.73,87,259.722,159.286,90,257,1601.931
20260302B02,（内訳）自エリアからの落札量[MW],15,143.991,37.193,434.73,87,196.722,159.286,90,170,1333.922
20260302B03,募集量（TSO別）[MW],0,116,0,0,131,327,249,144,305,1272
20260302B03,応札量合計（電源属地別）[MW],271.74,432,1038.753,443,165.994,936,404.211,84,688.93,4464.628
20260302B03,落札量合計（電源属地別）[MW],31,210,236,394.738,164,437.686,215.28,84,260,2032.704
20260302B03,応札件数（電源属地別）[件],5,2,8,4,3,5,6,3,8,44
20260302B03,落札件数（電源属地別）[件],1,2,2,4,2,5,4,3,5,28
20260302B03,最高落札価格（電源属地別）[円/kW・30分],4.6,1.56,4.32,3.54,2.38,7.13,1.98,7.47,2.77,7.47
20260302B03,最低落札価格（電源属地別）[円/kW・30分],4.6,1.19,3.2,2.51,2.37,1.55,0.36,0.36,0.69,0.36
20260302B03,平均落札価格（電源属地別）[円/kW・30分],4.6,1.31,3.76,3.12,2.38,2.62,1.1,1.94,1.53,2.4
20260302B03,最高落札価格（TSO別）[円/kW・30分],4.6,1.56,4.32,3.54,2.38,7.13,3.54,7.47,3.25,7.47
20260302B03,最低落札価格（TSO別）[円/kW・30分],4.6,1.19,3.2,2.51,2.37,1.55,0.36,0.36,0.69,0.36
20260302B03,平均落札価格（TSO別）[円/kW・30分],4.6,1.31,3.76,3.12,2.38,2.66,1.67,1.94,2.02,2.4
20260302B03,落札量合計（TSO別）[MW],31,210,236,193.696,131,420.722,291.286,84,435,2032.704
20260302B03,（内訳）自エリアからの落札量[MW],31,210,236,193.696,131,420.009,215.27,84,260,1780.975
20260302B04,募集量（TSO別）[MW],93,106,375,0,264,565,543,247,293,2486
20260302B04,応札量合計（電源属地別）[MW],287.55,450,1117.606,0,268,851,374.511,155,667,4170.667
20260302B04,落札量合計（電源属地別）[MW],93,229,376,0,268,748.226,355.774,155,318,2543
20260302B04,応札件数（電源属地別）[件],5,2,8,0,2,5,5,3,6,36
20260302B04,落札件数（電源属地別）[件],2,2,4,0,2,4,5,3,5,27
20260302B04,最高落札価格（電源属地別）[円/kW・30分],5.3,2.33,1,0,1.1,1.31,1.58,7.25,0.57,7.25
20260302B04,最低落札価格（電源属地別）[円/kW・30分],4.07,1.58,0.35,0,1.09,0.36,0.36,0.36,0.36,0.35
20260302B04,平均落札価格（電源属地別）[円/kW・30分],5.06,1.87,0.62,0,1.1,0.68,1.16,1.04,0.44,1.04
20260302B04,最高落札価格（TSO別）[円/kW・30分],5.3,2.33,1,0,1.1,1.31,1.58,7.25,0.57,7.25
20260302B04,最低落札価格（TSO別）[円/kW・30分],4.07,1.58,0.35,0,1.09,0.36,0.36,0.36,0.36,0.35
20260302B04,平均落札価格（TSO別）[円/kW・30分],5.06,1.87,0.62,0,1.1,0.7,0.96,1.04,0.44,1.04
20260302B04,落札量合計（TSO別）[MW],93,229,376,0,264,565,543,155,318,2543
20260302B04,（内訳）自エリアからの落札量[MW],93,229,376,0,264,561,355.774,155,318,2351.774
20260302B05,募集量（TSO別）[MW],0,129,549,0,240,424,269,214,329,2154
20260302B05,応札量合計（電源属地別）[MW],271.64,450,169.923,0,249,845,360.588,130,668.05,3144.201
20260302B05,落札量合計（電源属地別）[MW],12.99,229,169.923,0,249,453.816,243.192,130,336,1823.921
20260302B05,応札件数（電源属地別）[件],6,2,4,0,2,4,5,2,7,32
20260302B05,落札件数（電源属地別）[件],3,2,4,0,2,4,4,2,5,26
20260302B05,最高落札価格（電源属地別）[円/kW・30分],6.5,2.42,7.21,0,0.35,0.48,0.92,0.64,0.36,7.21
20260302B05,最低落札価格（電源属地別）[円/kW・30分],4.49,1.65,7.21,0,0.35,0.36,0.36,0.36,0.36,0.35
20260302B05,平均落札価格（電源属地別）[円/kW・30分],5.13,1.95,7.21,0,0.35,0.38,0.68,0.39,0.36,1.28
20260302B05,最高落札価格（TSO別）[円/kW・30分],6.5,2.42,7.21,0,0.92,0.92,0.92,0.64,0.36,7.21
20260302B05,最低落札価格（TSO別）[円/kW・30分],4.49,1.65,7.21,0,0.35,0.35,0.36,0.36,0.36,0.35
20260302B05,平均落札価格（TSO別）[円/kW・30分],5.13,1.95,7.21,0,0.41,0.39,0.58,0.39,0.36,1.28
20260302B05,落札量合計（TSO別）[MW],12.99,229,169.923,0,240,424,282.008,130,336,1823.921
20260302B05,（内訳）自エリアからの落札量[MW],12.99,229,169.923,0,213,384.722,212.914,130,336,1688.549
20260302B06,募集量（TSO別）[MW],0,389,223,0,202,518,165,219,302,2018
20260302B06,応札量合計（電源属地別）[MW],269,489,1704.6,960.702,210,845,360.588,135,696.97,5670.86
20260302B06,落札量合計（電源属地別）[MW],16,389,250,522.113,146,328.582,171.657,135,203,2161.352
20260302B06,応札件数（電源属地別）[件],4,3,10,3,2,4,5,2,7,40
20260302B06,落札件数（電源属地別）[件],1,3,2,2,2,4,3,2,4,23
20260302B06,最高落札価格（電源属地別）[円/kW・30分],4.27,2.67,4.32,2.48,1.44,1.62,2.1,7.2,1.49,7.2
20260302B06,最低落札価格（電源属地別）[円/kW・30分],4.27,0.36,3.2,0.61,1.43,0.66,0.4,0.36,0.48,0.36
20260302B06,平均落札価格（電源属地別）[円/kW・30分],4.27,1.97,3.79,1.59,1.44,0.87,1.38,1.12,0.73,1.69
20260302B06,最高落札価格（TSO別）[円/kW・30分],4.27,2.67,4.32,2.48,1.44,2.48,2.1,7.2,1.49,7.2
20260302B06,最低落札価格（TSO別）[円/kW・30分],4.27,0.36,3.2,2.48,0.61,0.43,0.4,0.36,0.48,0.36
20260302B06,平均落札価格（TSO別）[円/kW・30分],4.27,1.97,3.79,2.48,1.21,1.63,1.02,1.12,0.68,1.69
20260302B06,落札量合計（TSO別）[MW],16,389,250,68.352,202,518,165,135,418,2161.352
20260302B06,（内訳）自エリアからの落札量[MW],16,389,250,68.352,146,252.897,117.371,135,203,1577.62
20260302B07,募集量（TSO別）[MW],0,228,122,0,111,399,165,121,305,1451
20260302B07,応札量合計（電源属地別）[MW],266,250,2304.671,726.288,120,918.9,788.803,124,474,5972.662
20260302B07,落札量合計（電源属地別）[MW],0,70,705.101,466.277,120,265.722,219.03,121,173,2140.13
20260302B07,応札件数（電源属地別）[件],3,1,13,3,1,5,11,4,7,48
20260302B07,落札件数（電源属地別）[件],0,1,5,2,1,5,9,4,5,32
20260302B07,最高落札価格（電源属地別）[円/kW・30分],0,2.9,7.8,6.7,2.33,4.76,2.67,7.33,3.02,7.8
