H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202510,複合商品,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20251001B01,募集量（TSO別）[MW],57,268,500,0,75,166,185,106,186,1543
20251001B01,応札量合計（電源属地別）[MW],185.05,409.069,174.531,976.92,75,119.757,430.367,136,403.208,2909.902
20251001B01,落札量合計（電源属地別）[MW],10,409.069,71.99,976.92,75,119.757,140.485,83,29.208,1915.429
20251001B01,応札件数（電源属地別）[件],3,3,5,14,1,2,6,5,9,48
20251001B01,落札件数（電源属地別）[件],1,3,4,14,1,2,4,4,7,40
20251001B01,最高落札価格（電源属地別）[円/kW・30分],0.36,16.47,19.51,19.51,1.23,6.75,1.94,5.5,19.51,19.51
20251001B01,最低落札価格（電源属地別）[円/kW・30分],0.36,1.96,0.36,2.5,1.23,1.5,0.36,0.7,0.36,0.36
20251001B01,平均落札価格（電源属地別）[円/kW・30分],0.36,3.14,0.89,3.11,1.23,4.7,1.19,3.96,5.41,2.98
20251001B01,最高落札価格（TSO別）[円/kW・30分],3.37,16.47,19.51,4.21,2.94,19.51,4.21,6.75,19.51,19.51
20251001B01,最低落札価格（TSO別）[円/kW・30分],0.36,1.96,0.36,2.72,1.23,2.53,0.36,0.36,0.36,0.36
20251001B01,平均落札価格（TSO別）[円/kW・30分],2.08,3.16,2.82,3.09,1.62,3.66,1.71,5.17,3.11,2.98
20251001B01,落札量合計（TSO別）[MW],57,229.069,376.99,553.327,99,189.49,185,106,119.553,1915.429
20251001B01,（内訳）自エリアからの落札量[MW],10,229.069,71.99,553.327,69,26,140.445,52,29.208,1181.039
20251001B02,募集量（TSO別）[MW],56,390,536,0,95,184,186,102,204,1753
20251001B02,応札量合計（電源属地別）[MW],188.94,559.069,287.099,960.92,95,119.757,432.167,132,437.208,3212.16
20251001B02,落札量合計（電源属地別）[MW],3.75,559.069,122.458,960.92,95,119.757,142.285,91,63.208,2157.447
20251001B02,応札件数（電源属地別）[件],5,4,9,12,1,2,7,5,10,55
20251001B02,落札件数（電源属地別）[件],1,4,7,12,1,2,5,4,8,44
20251001B02,最高落札価格（電源属地別）[円/kW・30分],5,16.47,19.51,19.51,1.06,6.36,19.49,5.55,19.51,19.51
20251001B02,最低落札価格（電源属地別）[円/kW・30分],5,1.35,0.36,2.63,1.06,1.5,0.36,0.63,0.36,0.36
20251001B02,平均落札価格（電源属地別）[円/kW・30分],5,2.41,1.61,3.71,1.06,4.46,1.44,3.71,3.21,3.02
20251001B02,最高落札価格（TSO別）[円/kW・30分],5,16.47,19.51,4.96,19.51,6.36,5.55,6.36,19.51,19.51
20251001B02,最低落札価格（TSO別）[円/kW・30分],1.63,1.35,0.36,3.13,1.06,1.5,0.36,0.36,0.36,0.36
20251001B02,平均落札価格（TSO別）[円/kW・30分],1.86,2.24,2.72,3.69,2.24,4.04,1.94,3.25,3.69,3.02
20251001B02,落札量合計（TSO別）[MW],56,342.069,392.94,637.165,130,243.49,186,102,67.783,2157.447
20251001B02,（内訳）自エリアからの落札量[MW],3.75,342.069,122.458,637.165,77,106.757,140.445,56,63.208,1548.852
20251001B03,募集量（TSO別）[MW],82,1013,935,0,135,234,292,192,337,3220
20251001B03,応札量合計（電源属地別）[MW],216.29,559.069,383.349,606.92,135,211.357,432.167,222,407.132,3173.284
